"Step","daily-darkness-44 - train/shaping_reward","daily-darkness-44 - train/shaping_reward__MIN","daily-darkness-44 - train/shaping_reward__MAX"
"726312","0.002640581433703433","0.002640581433703433","0.002640581433703433"
"727652","0.002590745571529781","0.002590745571529781","0.002590745571529781"
"732512","0.00252025065757077","0.00252025065757077","0.00252025065757077"
"733012","0.0025100297274500277","0.0025100297274500277","0.0025100297274500277"
"733852","0.002500236867781784","0.002500236867781784","0.002500236867781784"
"740028","0.002695191583329667","0.002695191583329667","0.002695191583329667"
"744436","0.002700329231259214","0.002700329231259214","0.002700329231259214"
"744828","0.0026436380469492286","0.0026436380469492286","0.0026436380469492286"
"750952","0.002642319253658569","0.002642319253658569","0.002642319253658569"
"750976","0.002687525306553661","0.002687525306553661","0.002687525306553661"
"751436","0.003993193497904692","0.003993193497904692","0.003993193497904692"
"755088","0.0034999278467084684","0.0034999278467084684","0.0034999278467084684"
"757216","0.0029022651809110494","0.0029022651809110494","0.0029022651809110494"
"765328","0.002508995435168727","0.002508995435168727","0.002508995435168727"
"769512","0.0025173817099706434","0.0025173817099706434","0.0025173817099706434"
"771508","0.0024641356585972675","0.0024641356585972675","0.0024641356585972675"
"772212","0.002445260356177672","0.002445260356177672","0.002445260356177672"
"774168","0.002351354875212617","0.002351354875212617","0.002351354875212617"
"774588","0.0025668390995832796","0.0025668390995832796","0.0025668390995832796"
"777660","0.0026034014891200947","0.0026034014891200947","0.0026034014891200947"
"783356","0.0022578747625787636","0.0022578747625787636","0.0022578747625787636"
"783820","0.0022174751524567694","0.0022174751524567694","0.0022174751524567694"
"785208","0.002222132101488954","0.002222132101488954","0.002222132101488954"
"786360","0.0021678892208422573","0.0021678892208422573","0.0021678892208422573"
"787144","0.0027860427647328693","0.0027860427647328693","0.0027860427647328693"
"791352","0.0028771478281667106","0.0028771478281667106","0.0028771478281667106"
"793284","0.0028695809938023512","0.0028695809938023512","0.0028695809938023512"
"795636","0.0028993229735678134","0.0028993229735678134","0.0028993229735678134"
"796160","0.002810148684193543","0.002810148684193543","0.002810148684193543"
"797496","0.0028374489912872773","0.0028374489912872773","0.0028374489912872773"
"799448","0.0029019040503201047","0.0029019040503201047","0.0029019040503201047"
"801728","0.002959160559128767","0.002959160559128767","0.002959160559128767"
"803192","0.003271490518455136","0.003271490518455136","0.003271490518455136"
"803636","0.0031847416751988513","0.0031847416751988513","0.0031847416751988513"
"805572","0.00310275472229672","0.00310275472229672","0.00310275472229672"
"808424","0.0030714066735592687","0.0030714066735592687","0.0030714066735592687"
"809100","0.0031311830303631205","0.0031311830303631205","0.0031311830303631205"
"809908","0.00343943009779609","0.00343943009779609","0.00343943009779609"
"811684","0.0033849007042039635","0.0033849007042039635","0.0033849007042039635"
"814564","0.0034809188986883693","0.0034809188986883693","0.0034809188986883693"
"815924","0.003446018336871698","0.003446018336871698","0.003446018336871698"
"816048","0.0033478055465018365","0.0033478055465018365","0.0033478055465018365"
"822048","0.002030642730874761","0.002030642730874761","0.002030642730874761"
"822192","0.002087988114065546","0.002087988114065546","0.002087988114065546"
"822536","0.0020054908356443484","0.0020054908356443484","0.0020054908356443484"
"826844","0.0023104526761404164","0.0023104526761404164","0.0023104526761404164"
"828632","0.002486143439462333","0.002486143439462333","0.002486143439462333"
"829356","0.0025738546025499505","0.0025738546025499505","0.0025738546025499505"
"832792","0.0025918217297836985","0.0025918217297836985","0.0025918217297836985"
"835424","0.002606851407230512","0.002606851407230512","0.002606851407230512"
"838888","0.0026664426618624305","0.0026664426618624305","0.0026664426618624305"
"840828","0.0026166935520513003","0.0026166935520513003","0.0026166935520513003"
"841484","0.002543707311815092","0.002543707311815092","0.002543707311815092"
"846352","0.0025059675756849576","0.0025059675756849576","0.0025059675756849576"
"847580","0.002654948690418488","0.002654948690418488","0.002654948690418488"
"851024","0.0027243006800332925","0.0027243006800332925","0.0027243006800332925"
"852448","0.0025301015508508566","0.0025301015508508566","0.0025301015508508566"
"853664","0.002456418740805524","0.002456418740805524","0.002456418740805524"
"857128","0.00244237830186267","0.00244237830186267","0.00244237830186267"
"859092","0.0019672746283274038","0.0019672746283274038","0.0019672746283274038"
"859732","0.0020743890042338605","0.0020743890042338605","0.0020743890042338605"
"862512","0.002120214480919534","0.002120214480919534","0.002120214480919534"
"864636","0.0021843311228042896","0.0021843311228042896","0.0021843311228042896"
"865152","0.002218097041746824","0.002218097041746824","0.002218097041746824"
"865808","0.002164249251150911","0.002164249251150911","0.002164249251150911"
"868580","0.0023386667700580803","0.0023386667700580803","0.0023386667700580803"
"870784","0.002334368575593897","0.002334368575593897","0.002334368575593897"
"871244","0.0023254216323538458","0.0023254216323538458","0.0023254216323538458"
"880748","0.0023156862415010184","0.0023156862415010184","0.0023156862415010184"
"883428","0.002296498993455382","0.002296498993455382","0.002296498993455382"
"884048","0.0020622229844903177","0.0020622229844903177","0.0020622229844903177"
"884188","0.0021468821087750754","0.0021468821087750754","0.0021468821087750754"
"886820","0.0021221049901853557","0.0021221049901853557","0.0021221049901853557"
"889532","0.002139830763841242","0.002139830763841242","0.002139830763841242"
"890164","0.0022379513145924","0.0022379513145924","0.0022379513145924"
"890288","0.002216610886846129","0.002216610886846129","0.002216610886846129"
"892892","0.002275195733724581","0.002275195733724581","0.002275195733724581"
"895620","0.0022812195024336716","0.0022812195024336716","0.0022812195024336716"
"896256","0.0024078427024500798","0.0024078427024500798","0.0024078427024500798"
"908576","0.0022386264112537065","0.0022386264112537065","0.0022386264112537065"
"911140","0.0021744194925067783","0.0021744194925067783","0.0021744194925067783"
"917248","0.00239104836703883","0.00239104836703883","0.00239104836703883"
"919936","0.0023972008469707","0.0023972008469707","0.0023972008469707"
"920504","0.0023823395965763662","0.0023823395965763662","0.0023823395965763662"
"923328","0.0022896642777829363","0.0022896642777829363","0.0022896642777829363"
"926848","0.002464376907864677","0.002464376907864677","0.002464376907864677"
"927624","0.0024834757759795907","0.0024834757759795907","0.0024834757759795907"
"933676","0.002441232053884393","0.002441232053884393","0.002441232053884393"
"934284","0.002726040944747875","0.002726040944747875","0.002726040944747875"
"937276","0.0027164883223524706","0.0027164883223524706","0.0027164883223524706"
"939708","0.0026832630911358484","0.0026832630911358484","0.0026832630911358484"
"940360","0.002645639133768545","0.002645639133768545","0.002645639133768545"
"945028","0.0027558821914714614","0.0027558821914714614","0.0027558821914714614"
"945768","0.0027104571507171014","0.0027104571507171014","0.0027104571507171014"
"946940","0.0026289820037691185","0.0026289820037691185","0.0026289820037691185"
"948368","0.002515414807929798","0.002515414807929798","0.002515414807929798"
"951020","0.0025304405910886517","0.0025304405910886517","0.0025304405910886517"
"952964","0.0025497466759211596","0.0025497466759211596","0.0025497466759211596"
"954392","0.0024753112810363535","0.0024753112810363535","0.0024753112810363535"
"957024","0.002409720971900803","0.002409720971900803","0.002409720971900803"
"960408","0.0025395995092715373","0.0025395995092715373","0.0025395995092715373"
"964504","0.002587974522340868","0.002587974522340868","0.002587974522340868"
"965032","0.002393854174326934","0.002393854174326934","0.002393854174326934"
"970548","0.0024660189577479937","0.0024660189577479937","0.0024660189577479937"
